Streets_q0004_Streets,Trip_specific _q0005_Trip_purpose,Weather_q0018.0001.1_10_Summer_with_Pedestrianization,UrbanDesign_q0014_0004_Intersection_Safety,UrbanDesign_q0014_0005_Universal_Accessibility,UrbanDesign_q0014_0006_Attractiveness,Mutual_q0019_0001_Cyclist_Regarding_speed,Mutual_q0019_0002_Cyclist_Regarding_Priority_Crossing,Mutual_q0021_0001_Pedestrain_SharingRoad,GeneralOpinion_q0022_0004_Change_Route_ForPassing,GeneralOpinion_q0022_0005_Changig_Route_to_Avoid,GeneralOpinion_q0025_Impact_on_Mobility,q0014_0001_Y1,q0014_0002_Y2
4,1,1,-1,1,1,2,2,4,1,1,3,-1,-2
11,5,1,2,0,2,2,2,0,3,1,3,2,2
2,1,1,-2,1,1,2,1,0,4,2,5,-2,-2
1,6,3,-1,-2,-2,1,1,0,1,2,2,-2,-2
2,3,2,2,2,2,4,4,5,5,3,5,2,2
2,6,1,2,2,2,1,1,0,5,1,5,-1,-1
2,2,4,2,2,2,4,4,0,3,1,5,2,2
1,1,2,1,2,1,4,4,4,3,1,4,1,1
2,5,1,2,2,1,5,5,5,3,1,5,2,2
1,1,2,1,2,1,4,4,4,5,1,4,1,1
2,4,1,1,2,2,4,3,4,5,1,5,1,1
7,5,2,1,1,2,4,4,3,3,3,5,1,1
2,2,1,2,2,2,5,4,5,5,1,5,2,2
2,8,1,1,1,1,1,1,3,5,1,5,-2,-2
2,2,2,1,0,2,3,3,3,2,3,4,1,1
2,1,2,2,2,2,4,5,5,4,1,5,1,2
2,1,1,1,0,2,4,2,0,5,1,5,1,1
2,2,4,-1,1,1,4,4,0,4,4,5,1,1
2,1,2,1,2,2,4,4,4,5,1,5,2,2
2,2,4,1,0,2,4,4,4,3,1,3,2,2
2,1,1,2,2,2,3,3,0,5,1,5,1,1
2,2,1,2,1,2,4,4,4,5,1,5,1,1
2,1,1,1,1,2,5,4,4,5,1,5,2,1
2,1,2,1,-1,2,4,3,4,3,1,3,1,1
2,2,3,2,1,1,1,1,0,3,3,4,-2,-1
2,5,2,1,2,1,4,5,4,5,1,5,2,2
2,2,4,2,2,2,4,4,0,5,3,4,1,1
2,6,1,1,1,1,2,2,0,5,1,5,-2,-2
2,6,9,-1,-1,1,1,1,0,1,5,3,-2,-2
